index,food_name,WWEIA Category description,WWEIA Category number,Energy (kcal),Is_vegeterian,Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added
(mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"Water
(g)",is_breakfast,is_lunch_dinner,Cost_CAD,carbon_footprint_gCO2,water_footprint_liters,is_lunch,,Protein (g)
373,Macaroni or noodles with cheese and meat,Macaroni and cheese,3206,177,0,10.015,12.705,2.345,0.5,9.375,3.6805,3.48,0.642,33.5,36.5,38.5,0,23,0,52.5,3.5,0.129,0.153,1.8365,0.138,17.5,4.5,34,22,28,0.815,0,0.15,0.3,0.305,0,2,50,109,14.5,1.12,2.01,0.053,13.75,132,261,0,0,0,66.615,0,1,4,556,364,,,10.015
374,Macaroni or noodles with cheese and tomato,Macaroni and cheese,3206,148,0,3.94,18.72,3.35,1.1,6.53,2.598,1.556,1.035,12,60,70,21,116,0,521,28,0.172,0.132,0.759,0.125,31,5,58,36,12.1,0.23,0,2.9,0.2,0.64,0,4.7,49,84,14,0.58,0.38,0.061,12,90,131,0,0,0,69.72,0,1,3,469,306,,,3.94
375,Macaroni or noodles with cheese and tuna,Macaroni and cheese,3206,164,0,7.59,18.23,2.83,0.8,6.79,2.682,1.599,1.087,19,64,66,0,25,0,0,4,0.173,0.147,2.622,0.175,32,4,58,36,16.8,0.74,0,0.1,0.4,0.6,0,3.1,51,108,17,0.86,0.48,0.059,25.7,75,176,0,0,0,66.2,0,1,4,517,338,,,7.59
376,Macaroni or pasta salad with cheese,"Pasta mixed dishes, excludes macaroni and cheese",3204,246,0,6.89,21.78,1.66,1.3,14.43,4.069,3.171,5.987,18,43,45,5,25,11,0,23,0.182,0.15,1.108,0.046,42,10,81,52,11.1,0.15,0,1.6,0.1,0.58,0,24.4,98,100,16,0.9,0.83,0.075,20.9,53,262,0,0,0,55.73,0,1,3,640,379,,,6.89
377,Macaroni or pasta salad with chicken,"Pasta mixed dishes, excludes macaroni and cheese",3204,213,0,7.82,20.94,1.57,1.2,10.75,1.787,2.563,5.833,22,3,6,4,25,11,0,22,0.185,0.118,2.218,0.073,41,8,78,49,18.7,0.07,0,1.5,0,0.53,0,23.5,9,76,16,0.97,0.59,0.078,20.4,84,225,0,0,0,59.69,0,1,4,1516,862,,,7.82
378,Macaroni or pasta salad with crab meat,"Pasta mixed dishes, excludes macaroni and cheese",3204,201,0,6.48,20.94,1.57,1.2,9.9,1.58,2.175,5.73,20,2,5,4,25,11,0,22,0.178,0.104,1.487,0.059,41,14,84,56,20.9,0.52,0,2,0,0.75,0,23.6,21,76,18,0.94,0.92,0.191,23.2,81,233,0,0,0,61.75,0,1,4,527.5,311.5,,,6.48
379,Macaroni or pasta salad with egg,"Pasta mixed dishes, excludes macaroni and cheese",3204,215,0,5.18,22.54,1.79,1.3,11.44,1.954,2.676,6.226,39,15,18,5,27,12,0,55,0.192,0.143,1.157,0.049,44,11,86,55,35.7,0.12,0,1.6,0.2,0.6,0,25.2,12,59,14,1.03,0.47,0.075,20.7,56,197,0,0,0,60.01,0,1,3,562.5,332.5,,,5.18
380,Macaroni or pasta salad with meat,"Pasta mixed dishes, excludes macaroni and cheese",3204,211,0,7.65,20.82,1.56,1.2,10.59,1.827,2.537,5.758,14,2,5,4,24,11,0,22,0.279,0.129,1.847,0.109,41,7,77,48,24.5,0.12,0,1.5,0.2,0.51,0,23.4,8,75,15,1,0.74,0.082,20.6,90,378,0,0,0,59.69,0,1,4,552.5,326.5,,,7.65
381,Macaroni or pasta salad with shrimp,"Pasta mixed dishes, excludes macaroni and cheese",3204,203,0,6.86,20.94,1.57,1.2,9.99,1.578,2.172,5.794,43,2,5,4,25,11,0,22,0.175,0.093,1.158,0.038,41,8,78,49,20.9,0.13,0,2.1,0,0.64,0,23.5,29,70,17,1.18,0.64,0.108,23.9,54,304,0,0,0,61.17,0,1,4,532.5,314.5,,,6.86
382,Macaroni or pasta salad with tuna,"Pasta mixed dishes, excludes macaroni and cheese",3204,200,0,6.69,20.88,1.57,1.2,9.9,1.579,2.166,5.712,11,4,7,4,24,11,0,22,0.178,0.103,2.592,0.085,41,7,77,48,13.2,0.41,0,1.5,0.2,0.52,0,23.5,10,61,16,1.11,0.45,0.076,27.1,69,206,0,0,0,61.7,0,1,4,525,310,,,6.69
383,Macaroni or pasta salad with tuna and egg,"Pasta mixed dishes, excludes macaroni and cheese",3204,197,0,7.14,19.36,1.53,1.1,9.96,1.709,2.313,5.382,39,15,18,4,23,11,0,47,0.169,0.134,2.397,0.088,38,10,74,48,34.8,0.46,0,1.4,0.4,0.56,0,21.7,13,70,15,1.12,0.49,0.071,27.4,73,200,0,0,0,62.7,0,1,4,517.5,305.5,,,7.14
384,Macaroni with tuna,"Pasta mixed dishes, excludes macaroni and cheese",3204,147,0,7.71,18.13,2.14,0.9,4.74,1.202,1.851,1.236,10,55,58,0,27,0,0,4,0.141,0.134,2.756,0.099,24,4,44,28,13.9,0.6,0,0.2,0.8,0.48,0,4,54,93,18,1.11,0.53,0.062,26,124,359,0,0,0,68.05,0,1,4,466,304,,,7.71
385,Manicotti,"Pasta mixed dishes, excludes macaroni and cheese",3204,163.75,0,8.3225,16.9,1.3275,0.825,7.0875,3.726,1.7835,0.5235,61.25,75.25,86.75,0,134.5,2.25,2562.25,238.5,0.14975,0.24475,1.318,0.08525,15.25,13.5,40.25,29.25,36.9,0.46,0,1.925,0.375,0.5925,0,13.45,149.75,144.5,20,1.41,0.9225,0.05625,10.35,193,426.25,0,0,0,65.73,0,1,4,516.25,337.5,,,8.3225
387,McDouble,Burgers,3702,282,0,16.24,17.97,4.16,0.9,16.18,6.96,6.001,1.314,50,40,44,1,51,3,980,17,0.231,0.204,3.462,0.214,26,17,61,43,43.7,1.28,0,2.9,0.2,0.35,0,4.7,150,165,21,2.35,2.77,0.081,17.9,226,617,0,0,0,47.16,0,1,6,871,574,,,16.24
388,Meat loaf,Meat mixed dishes,3002,263.5,0,18.67,8.95,1.42,0.5,16.52,5.256,6.9975,2.031,113,30,30,0,2,1.5,0,63.5,0.1375,0.2395,3.491,0.238,9,15,30,24,86.15,1.365,0,0.8,0.5,0.935,0,4.55,47.5,162,18.5,2.165,3.555,0.0735,21.9,251,522.5,0,0,0,53.655,0,1,6,815.5,537,,,18.67
390,Meat loaf made with beef,Meat mixed dishes,3002,184.6666667,0,16.17666667,7.05,1.956666667,0.5,9.856666667,3.637333333,4.177666667,0.606666667,71,15,17.33333333,0,20.66666667,1,1052,37,0.111,0.185,3.469,0.251,6.666666667,13.33333333,24.33333333,19.66666667,64.5,1.45,0,1.1,0.266666667,0.266666667,0,1.166666667,60,158.3333333,18.66666667,1.903333333,3.44,0.073333333,16.53333333,273.6666667,419,0,0,0,65.10333333,0,1,6,5011.000001,2780.000001,,,16.17666667
391,Meat loaf made with beef and pork,Meat mixed dishes,3002,176.5,0,15.45,6.965,2,0.55,9.34,3.452,3.931,0.655,69,19.5,22,0,30,1,1575.5,36,0.1535,0.19,3.227,0.2365,6,12,21.5,18,62.45,1.225,0,1.4,0.45,0.33,0,1.1,57.5,153,18.5,1.76,3.13,0.077,17.1,272,419,0,0,0,66.48,0,1,6,4790.5,2657.5,,,15.45
392,Meat loaf made with chicken or turkey,Poultry mixed dishes,3004,158.5,0,17.115,7.685,2.265,0.7,6.735,1.8055,2.1805,1.887,75.5,27.5,35,8,81.5,1,1665.5,51.5,0.1095,0.199,5.303,0.37,9,12.5,28,22,51.35,0.785,0,3.9,0.35,0.35,0,0.8,63.5,180.5,24.5,1.465,1.935,0.115,21.45,256.5,447.5,0,0,0,66.965,0,1,6,1134.5,644,,,17.115
393,Meat loaf made with ham,Meat mixed dishes,3002,179,0,20.65,6.16,1.67,0.3,7.52,2.261,2.844,1.755,94,25,26,1,8,2,0,69,0.366,0.269,4.772,0.335,5,9,17,14,93.2,0.51,0,3.6,0.9,0.57,0,5.8,27,250,22,1.26,2.12,0.102,29.8,322,879,0,0,0,62.86,0,1,6,562,368,,,20.65
394,Meat loaf made with venison/deer,Meat mixed dishes,3002,166,0,19.02,6.31,1.58,0.4,6.73,3.038,1.379,0.599,86,18,18,0,1,1,0,33,0.306,0.287,4.403,0.208,6,8,18,14,80.2,1.18,0,0.5,0.3,0.44,0,1.1,51,194,22,2.7,3.48,0.125,12,310,378,0,0,0,66.91,0,1,6,523,342,,,19.02
397,Meat with gravy,Meat mixed dishes,3002,156,0,21.56,1.58,0.09,0,7.05,2.568,2.977,0.377,64,0,0,0,0,0,0,0,0.056,0.129,3.816,0.288,0,8,8,8,82.4,1.19,0,0,0.1,0.33,0,1.2,8,140,15,1.79,3.64,0.057,22.2,188,360,0,0,0,68.42,0,1,6,493,322,,,21.56
398,Meat with tomato-based sauce,Meat mixed dishes,3002,149,0,21.72,1.58,1.06,0.4,6.36,2.391,2.687,0.292,63,0,6,0,73,1,3941,7,0.056,0.132,4.015,0.309,0,9,9,9,84,1.19,0,2,0.1,0.73,0,1.9,9,143,18,2.05,3.69,0.086,22.3,264,355,0,0,0,68.77,0,1,6,472,308,,,21.72
399,Meatball sandwich or sub,Meat and BBQ sandwiches,3742,207,0,11.3,21.31,4.65,1.2,8.23,3.423,2.483,1.019,34,34,43,0,106,1,3140,63,0.214,0.213,3.507,0.156,19,23,56,42,32,0.76,0,1.1,0.5,0.81,0,5.7,178,161,21,2.01,1.82,0.081,17.2,221,511,0,0,0,56.97,0,1,4,646,424,,,11.3
400,Meatballs,Meat mixed dishes,3002,166.5,0,13.6125,5.91,1.04,0.5,9.5475,3.20825,4.06775,1.01975,55.75,10.75,12.25,0,18,1,941.5,27.75,0.07475,0.15525,2.758,0.169,6.5,11.25,22.25,17.5,50.625,1.0725,0,0.825,0.15,0.5275,0,2.475,28.5,129,15,1.575,2.74,0.0935,14.3,223,619.25,0,0,0,68.885,0,1,6,524.5,343,,,13.6125
401,Meatloaf sandwich,Meat and BBQ sandwiches,3742,217,0,11.75,28.73,5.9,1.3,6.15,2.038,2.248,1.103,32,6,9,0,41,0,1542,56,0.266,0.208,3.902,0.175,42,18,89,60,37.3,0.71,0,0.8,0.1,0.35,0,0.9,124,125,22,2.42,2.02,0.096,17.8,204,494,0,0,0,51.29,0,1,4,676,444,,,11.75
406,English Muffin,Bagels and English muffins,4206,237.3125,1,8.603125,46.59875,4.8825,4.4625,2.41375,0.5295625,0.580125,0.859125,0.3125,1.5625,1.5625,0,1.4375,0.0625,0,70,0.422,0.2755,3.4365625,0.081375,37,37.25,99.5,73.875,14.95625,0.015625,0,0.56875,0,0.40625,0,1.23125,146.25,112.3125,35.1875,3.090625,1.078125,0.16675,26.01875,178.25,402.3125,0,0,0,40.268125,1,0,2,736.9375,484.625,,,8.603125
408,Multiple meat sandwich on wheat,Deli and cured meat sandwiches,3740,199.5,0,14.115,19.125,2.575,2.1,7.225,2.4825,2.211,1.406,35,17,17.5,0,5.5,0.5,0,26,0.233,0.215,5.049,0.273,5.5,25.5,35,31,35.95,0.46,0,0,0.45,0.355,0,2.6,136,236,34,1.74,1.56,0.101,22.95,316,723.5,0,0,0,56.435,0,1,5,623.5,409,,,14.115
409,Multiple meat sandwich on white,Deli and cured meat sandwiches,3740,200.5,0,13.35,20.6,2.63,0.9,7.075,2.5225,2.236,1.525,35,17,17.5,0,5,0.5,0,18.5,0.276,0.2255,5.0015,0.247,33.5,12.5,69.5,46,33.35,0.46,0,0,0.45,0.305,0,0.55,155,215,22.5,1.82,1.375,0.075,21.25,288.5,727,0,0,0,55.95,0,1,5,626.5,411,,,13.35
410,Multiple meat sandwich or sub,Deli and cured meat sandwiches,3740,195.5,0,13.705,18.215,2.41,0.75,7.415,2.708,2.3605,1.4885,38,19,20,0,5.5,0.5,0,16.5,0.257,0.225,5.0065,0.259,29,11.5,61,41,34.8,0.5,0,0,0.5,0.31,0,0.55,153.5,225,22.5,1.685,1.42,0.0705,21.1,301,750.5,0,0,0,57.565,0,1,5,611.5,401,,,13.705
411,Multiple meat sandwich wrap,Deli and cured meat sandwiches,3740,226,0,13.38,19.61,2.05,1.3,10.13,4.226,2.895,1.645,39,34,35,0,10,1,0,6,0.257,0.25,4.543,0.224,29,9,58,38,30.1,0.53,0,0,0.7,0.25,0,3.2,182,274,21,1.82,1.36,0.065,21,282,837,0,0,0,53.58,0,1,5,703,462,,,13.38
412,Noodle pudding,"Pasta mixed dishes, excludes macaroni and cheese",3204,209,0,5.94,31.02,11.08,1.6,7.4,1.656,3.037,1.959,95,75,78,0,32,3,0,116,0.189,0.178,1.437,0.064,39,14,79,52,67.7,0.22,0,1.6,0.7,0.78,0,5.2,27,101,22,1.6,0.74,0.103,22.8,141,68,0,0,0,54.8,0,1,3,652,428,,,5.94
414,Noodles with vegetables in tomato-based sauce,"Pasta mixed dishes, excludes macaroni and cheese",3204,70,0,3.63,10.82,2.71,1.7,1.55,0.667,0.347,0.21,3,8,19,0,128,0,4669,276,0.187,0.181,1.718,0.104,12,16,36,28,12.2,0.06,0,8.3,0,0.57,0,2.1,49,76,18,0.87,0.54,0.188,11.2,280,134,0,0,0,82.86,0,1,3,200,115,,,3.63
418,Oatmeal,Oatmeal,4802,96.85714286,1,3.032857143,15.48666667,3.56952381,1.814285714,2.771904762,0.895380952,0.834,0.64652381,3.571428571,108,108.2857143,0,5.095238095,0,0,16.52380952,0.116190476,0.098238095,0.803571429,0.118238095,7.19047619,5.428571429,17.66666667,12.61904762,10.34285714,0.153333333,0.060952381,0.028571429,0.376190476,0.54,0.336666667,1.061904762,89.33333333,96.0952381,27.42857143,2.361904762,0.63952381,0.075571429,5.023809524,106.0952381,101.2857143,0,0,0,77.86952381,1,0,1,315.5714286,203.7142857,,,3.032857143
419,Octopus salad,Seafood mixed dishes,3006,170,0,9.67,5.56,2.13,1,11.95,1.904,7.79,1.242,29,25,38,33,149,0,845,43,0.041,0.035,1.25,0.237,0,18,18,18,43.4,9.69,0,8.9,0,3.26,0,6.1,44,107,24,3.3,1.13,0.285,27.3,297,129,0,0,0,71.33,0,1,6,450,265,,,9.67
420,Oysters Rockefeller,Seafood mixed dishes,3006,134,0,7.64,9.38,1.23,1.9,7.53,3.191,1.977,1.071,36,39,280,0,2891,0,0,6251,0.138,0.158,1.659,0.106,6,51,61,57,48.3,3.55,0,1.2,0,1.84,0,216.7,106,104,47,3.36,18.79,1.421,16.7,245,430,0,0,0,73.42,0,1,6,427,278,,,7.64
425,Paella with seafood,Rice mixed dishes,3202,143,0,8.03,16.44,0.92,0.7,4.76,1.005,2.658,0.598,25,12,25,3,139,33,0,159,0.128,0.087,2.281,0.108,24,9,49,33,23.6,1.24,0,10.6,0,0.9,0,2.8,18,87,14,1.2,0.69,0.079,11.1,112,609,0,0,0,68.8,0,1,5,1169,725,,,8.03
426,Palak Paneer,Vegetable dishes,3104,101,0,5.42,4.28,1.89,0.9,7.02,1.81,2.536,2.025,7,15,123,12,1286,3,313,2666,0.048,0.129,0.313,0.108,0,32,32,32,13.4,0.13,0,9.2,0,1.76,0,177.2,60,75,38,0.55,0.36,0.042,3.5,244,242,0,0,0,81.92,0,1,3,328,212,,,5.42
427,Pancakes,"Pancakes, waffles, French toast",4404,265.1666667,1,6.488888889,35.78555556,8.276111111,2.338888889,10.725,2.694888889,3.560722222,3.458444444,46.77777778,163.1666667,172.3888889,53.05555556,85.61111111,1.277777778,0,83.27777778,0.295277778,0.307222222,3.0055,0.233333333,31.55555556,12.16666667,65.72222222,43.77777778,38.11666667,0.774444444,0.480555556,0.2,0.594444444,1.433333333,0,8.527777778,142.9444444,298.7777778,27.77777778,2.865555556,0.751666667,0.086388889,10.42222222,171.5555556,498.6666667,0.5,5.055555556,0,44.74055556,1,0,2,820.5000001,540.3333334,,,6.488888889
429,Mixed Pasta,"Pasta mixed dishes, excludes macaroni and cheese",3204,149.9583333,0,5.363958333,17.14583333,1.657708333,2.345833333,7.233541667,2.233708333,2.154125,1.667458333,15.3125,26.0625,33.66666667,0.5,89.66666667,4.583333333,2244.520833,104.9166667,0.090270833,0.093020833,2.669833333,0.104708333,0,15.0625,15.0625,15.10416667,12.71458333,0.307083333,0,2.545833333,0.097916667,1.195208333,0,6.125,26.89583333,96.64583333,33.5,1.156458333,0.993541667,0.145291667,21.38541667,146.6875,335.8958333,0,0,0,68.95770833,0,1,3,474.8749999,309.9166666,,,5.363958333
431,Pasta with cream sauce and added vegetables,"Pasta mixed dishes, excludes macaroni and cheese",3204,162,0,3.873333333,16.70666667,0.953333333,1.066666667,8.723333333,3.516,2.401666667,1.508333333,15.66666667,48.33333333,52.66666667,1,45.66666667,10.66666667,0,59.66666667,0.147666667,0.119,1.062666667,0.047666667,33,7.333333333,63.66666667,40.66666667,6.866666667,0.026666667,0,4.933333333,0.2,0.74,0,3.866666667,28.33333333,53.33333333,12.33333333,0.696666667,0.396666667,0.074,15,70,354.3333333,0,0,0,69.46,0,1,3,430,253,,,3.873333333
432,Pasta with cream sauce and meat,"Pasta mixed dishes, excludes macaroni and cheese",3204,184.6666667,0,5.94,16.14333333,0.62,0.9,10.49333333,4.261666667,3.124333333,1.549333333,24,51.33333333,52.33333333,0,2,0,0,3.666666667,0.145666667,0.111333333,1.298,0.061333333,33,5,61,38,12.66666667,0.26,0,0.1,0.2,0.703333333,0,3.566666667,31,64.66666667,12.66666667,0.873333333,0.91,0.060333333,16.13333333,63,399.6666667,0,0,0,66.10666667,0,1,4,579.0000001,379.3333334,,,5.94
433,Pasta with cream sauce and poultry,"Pasta mixed dishes, excludes macaroni and cheese",3204,177.6666667,0,6.11,16.14333333,0.62,0.9,9.683333333,3.864333333,2.696333333,1.678666667,25,53.33333333,53.33333333,0,2,0,0,3.666666667,0.149,0.113333333,1.626,0.064666667,33,5,61,37.66666667,11.66666667,0.116666667,0,0.1,0.2,0.713333333,0,3.366666667,30.33333333,70,12.66666667,0.743333333,0.566666667,0.062,16.46666667,62.66666667,398.6666667,0,0,0,66.79,0,1,4,558.0000001,365.3333334,,,6.11
434,Pasta with cream sauce and seafood,"Pasta mixed dishes, excludes macaroni and cheese",3204,173,0,5.663333333,16.40333333,0.62,0.9,9.15,3.72,2.483333333,1.549333333,29.66666667,58,58.33333333,0,2,0,0,3.666666667,0.143,0.099666667,0.904666667,0.030666667,33,5,61,37.66666667,13.83333333,0.87,0,0.233333333,0.2,0.79,0,3.4,37.66666667,70.66666667,13.66666667,0.863333333,0.486666667,0.068333333,18.53333333,68,409.3333333,0,0,0,67.34666667,0,1,4,1409,875,,,5.663333333
435,Pasta with sauce and meat,"Pasta mixed dishes, excludes macaroni and cheese",3204,117,0,5.95,17.5,2.73,2.6,3.12,0.831,0.994,0.537,10,0,15,0,170,0,5479,126,0.088,0.09,3.657,0.155,0,16,16,16,17,0.27,0,0.9,0,1.16,0,6.5,20,93,35,1.38,1.33,0.148,19.5,213,117,0,0,0,72.22,0,1,4,376,244,,,5.95
436,Pasta with tomato-based sauce,"Pasta mixed dishes, excludes macaroni and cheese",3204,135.25,0,5.02,18.346875,2.315625,1.58125,4.505625,0.8155,1.655625,1.4738125,9.9375,4.0625,17.125,0.8125,155.625,7,4226.5,103.3125,0.1505,0.1170625,2.5163125,0.10925,31.75,10.625,64.625,42.375,14.83125,0.253125,0,3.9375,0.01875,1.415,0,7.6625,19.1875,59.6875,17.625,1.071875,0.565625,0.0956875,15.53125,170.625,280.375,0,0,0,70.98,0,1,3,430.75,280.5,,,5.02
437,Pasta with tomato-based sauce and beans or lentils,"Pasta mixed dishes, excludes macaroni and cheese",3204,125,0,5.23,20.94,2.2,3,2.28,0.326,0.751,0.848,1,0,11,0,135,0,4397,68,0.142,0.084,2.023,0.103,25,29,70,53,16.4,0,0,0.7,0,1.36,0,7.1,36,63,30,1.73,0.62,0.141,10.7,275,250,0,0,0,70.14,0,1,4,400,260,,,5.23
438,Pasta with tomato-based sauce and cheese,"Pasta mixed dishes, excludes macaroni and cheese",3204,119,0,3.74,14.98,3.54,1.7,4.83,1.282,1.507,1.29,6,14,33,0,238,0,7734,118,0.104,0.1,2.933,0.124,21,11,47,32,11.1,0.05,0,1.2,0,1.92,0,10.7,50,59,18,0.9,0.45,0.083,10.6,212,403,0,0,0,74.88,0,1,3,382,248,,,3.74
439,Pasta with tomato-based sauce and meat,"Pasta mixed dishes, excludes macaroni and cheese",3204,147.3333333,0,5.676666667,18.54333333,2.363333333,1.566666667,5.39,1.103,2.089,1.508333333,8.333333333,0,12.66666667,0,147.6666667,0,4810,75.33333333,0.150666667,0.106666667,2.775,0.122,33,9.333333333,65.66666667,42.66666667,15.43333333,0.236666667,0,0.766666667,0,1.496666667,0,8.333333333,15.66666667,58.66666667,17.66666667,1.16,0.873333333,0.088,15.66666667,169.3333333,305.6666667,0,0,0,69.21666667,0,1,4,466.9999999,304.6666666,,,5.676666667
440,Pasta with tomato-based sauce and poultry,"Pasta mixed dishes, excludes macaroni and cheese",3204,140.3333333,0,5.846666667,18.54333333,2.363333333,1.566666667,4.576666667,0.705666667,1.66,1.638,9,1.666666667,13.66666667,0,147.6666667,0,4810,75.33333333,0.153666667,0.108333333,3.103333333,0.125333333,33,9,65,42.66666667,14.43333333,0.096666667,0,0.766666667,0,1.51,0,8.133333333,15.66666667,64,18,1.03,0.533333333,0.09,16.03333333,168.3333333,304.6666667,0,0,0,69.90333333,0,1,4,445.9999999,290.6666666,,,5.846666667
441,Pasta with tomato-based sauce and seafood,"Pasta mixed dishes, excludes macaroni and cheese",3204,135.3333333,0,5.396666667,18.8,2.363333333,1.566666667,4.046666667,0.561,1.447,1.508333333,13.66666667,6.666666667,18.66666667,0,147.6666667,0,4810,75.33333333,0.147666667,0.095,2.381,0.091,33,9,65.66666667,42.33333333,16.63333333,0.846666667,0,0.933333333,0,1.583333333,0,8.2,23,64.66666667,18.66666667,1.153333333,0.456666667,0.096333333,18.1,174,315.3333333,0,0,0,70.46333333,0,1,4,1107.666666,686.6666665,,,5.396666667
442,Pasta with vegetables,"Pasta mixed dishes, excludes macaroni and cheese",3204,144,0,4.46,23.1,1.24,2.3,3.54,0.508,1.304,1.332,0,0,107,475,1049,0,0,223,0.199,0.119,1.326,0.072,43,14,86,56,10.1,0,0,8.2,0,0.74,0,17.2,15,54,18,1.04,0.46,0.083,17.3,102,148,0,0,0,68.14,0,1,3,385,226,,,4.46
445,Pepper steak,Meat mixed dishes,3002,145,0,11.88,4.34,1.67,0.7,9.12,2.012,3.835,2.416,32,0,9,7,101,2,0,173,0.054,0.083,2.256,0.256,0,13,13,13,46,0.61,0,22.6,0,1.43,0,19.5,17,89,16,1.24,1.96,0.065,11.6,202,244,0,0,0,73.55,0,1,6,460,300,,,11.88
446,Pig in a blanket,Frankfurter sandwiches,3703,310,0,11.42,19.22,2.68,0.7,20.85,8.07,8.706,1.471,40,2,2,0,0,0,0,4,0.185,0.222,3.135,0.102,21,9,45,30,26.2,0.59,0,0.1,0.6,0.43,0,4.7,69,122,16,2,1.7,0.076,15.8,264,708,0,0,0,45.91,0,1,4,955,630,,,11.42
447,Pinto beans and brown rice,"Bean, pea, legume dishes",3102,164,1,6,24.92,0.28,5.4,4.71,0.677,1.87,1.765,0,0,0,0,0,0,0,0,0.137,0.045,1.011,0.142,0,93,93,93,22.6,0,0,0.4,0,1.35,0,6,28,121,44,1.33,0.8,0.16,5.4,275,211,0,0,0,62.97,0,1,4,435,256,,,6
448,Pinto beans and rice,"Bean, pea, legume dishes",3102,188,1,5.9,25.02,0.2,5,7.15,0.997,2.941,2.726,0,0,0,0,0,0,0,0,0.162,0.037,0.732,0.153,21,89,126,111,19.9,0,0,0.4,0,1.79,0,8.6,29,96,32,1.6,0.72,0.145,6.2,249,296,0,0,0,60.38,0,1,4,495,292,,,5.9
449,Pinto beans and white rice,"Bean, pea, legume dishes",3102,167,1,6.09,25.82,0.21,5.2,4.38,0.628,1.763,1.661,0,0,0,0,0,0,0,0,0.167,0.038,0.755,0.158,22,92,130,114,20.5,0,0,0.4,0,1.28,0,5.9,30,99,33,1.65,0.74,0.15,6.4,257,228,0,0,0,62.31,0,1,4,442.5,260.5,,,6.09
450,Pizza rolls,Pizza,3602,345,0,9.19,53.39,3.94,1.3,10.5,2.625,4.052,3.003,6,47,63,7,198,0,6186,4,0.17,0.201,1.966,0.066,26,8,52,34,13.5,0.27,0,0,0,1.67,0,4.8,132,144,21,1.9,0.77,0.138,12.7,317,631,0,0,0,24.06,0,1,5,1060,700,,,9.19
451,Pizza with beans and vegetables,Pizza,3602,214,0,9.375,27.76,2.97,3,7.405,3.146,1.875,1.663,12,44,51,0,83,0,1378.5,218.5,0.308,0.16,2.753,0.0785,43,50.5,123,93.5,17.8,0.275,0,3.45,0,0.735,0,7.2,138.5,177.5,29.5,2.14,1.14,0.1165,13.75,212.5,421,0,0,0,53.375,0,1,5,560,331,,,9.375
452,Pizza with cheese and extra vegetables,Pizza,3602,223,0,9.16,27.68333333,3.303333333,2.1,8.493333333,3.574,2.458666667,1.683,13.33333333,48,56.33333333,1.333333333,96.66666667,0.333333333,1511,84.33333333,0.307333333,0.185,3.186,0.080666667,45,34.33333333,111,80,15.4,0.313333333,0,4.766666667,0,0.766666667,0,6.833333333,152,177.3333333,20.66666667,2.343333333,1.096666667,0.127,16.5,177.3333333,464.6666667,0,0,0,52.54333333,0,1,5,582.5,344.5,,,9.16
453,Pizza with extra meat,Pizza,3602,276.3333333,0,13.96666667,25.83666667,2.78,1.766666667,12.92666667,5.299333333,4.321,2.176,33.33333333,48.66666667,55,0,71,0,1479.333333,35.33333333,0.332333333,0.198666667,4.388333333,0.135,43.66666667,32,106.6666667,76.66666667,26.43333333,0.6,0,1.033333333,0.133333333,0.77,0,6.5,146.3333333,210,23.33333333,2.256666667,1.723333333,0.098,20.23333333,204.6666667,574.6666667,0,0,0,44.88333333,0,1,5,853.9999999,562.6666666,,,13.96666667
454,Pizza with extra meat and extra vegetables,Pizza,3602,231.3333333,0,11.27333333,25.35666667,2.99,1.933333333,9.473333333,3.899,2.956333333,1.763333333,22.33333333,45.66666667,52.66666667,1,83.33333333,0,1396.666667,66.66666667,0.299333333,0.190666667,3.755,0.111333333,41.66666667,32.66666667,103.6666667,75,21.16666667,0.443333333,0,4.9,0,0.73,0,6.166666667,141.3333333,186.3333333,21.33333333,2.26,1.386666667,0.116,17.53333333,195,467.6666667,0,0,0,51.81666667,0,1,5,603.3333333,356.9999999,,,11.27333333
